Date,Date,,# of cases,# of deaths
2020-03-11,2020-03-11,,0(n.a.),0(n.a.)
2020-03-12,2020-03-12,,3(n.a.),0(n.a.)
2020-03-13,2020-03-13,,5(+67%),0(n.a.)
2020-03-14,2020-03-14,,5(=),1(n.a.)
2020-03-15,2020-03-15,,5(=),1(=)
2020-03-16,2020-03-16,,7(+40%),1(=)
2020-03-17,2020-03-17,,7(=),1(=)
2020-03-18,2020-03-18,,7(=),1(=)
2020-03-19,2020-03-19,,7(=),1(=)
2020-03-20,2020-03-20,,11(+57%),1(=)
2020-03-21,2020-03-21,,14(+27%),1(=)
2020-03-22,2020-03-22,,15(+7.1%),1(=)
2020-03-23,2020-03-23,,15(=),1(=)
2020-03-24,2020-03-24,,20(+33%),1(=)
2020-03-25,2020-03-25,,25(+25%),1(=)
2020-03-26,2020-03-26,​,33(+32%),1(=)
2020-03-27,2020-03-27,​,41(+24%),2(+100%)
2020-03-28,2020-03-28,​,51(+24%),2(=)
2020-03-29,2020-03-29,​,55(+7.8%),2(=)
2020-03-30,2020-03-30,​,64(+16%),3(+50%)
2020-03-31,2020-03-31,​,76(+19%),3(=)
2020-04-01,2020-04-01,​,83(+9.2%),3(=)
2020-04-02,2020-04-02,​,88(+6%),3(=)
2020-04-03,2020-04-03,​,101(+15%),3(=)
2020-04-04,2020-04-04,​,110(+8.9%),3(=)
2020-04-05,2020-04-05,​,124(+13%),3(=)
2020-04-06,2020-04-06,​,128(+3.2%),4(+33%)
2020-04-07,2020-04-07,​ ​,144(+12%),4(=)
2020-04-08,2020-04-08,​ ​,151(+4.9%),4(=)
2020-04-09,2020-04-09,​ ​,163(+7.9%),4(=)
2020-04-10,2020-04-10,​ ​,175(+7.4%),5(+25%)
2020-04-11,2020-04-11,​ ​,181(+3.4%),6(+20%)
2020-04-12,2020-04-12,​ ​,197(+8.8%),6(=)
2020-04-13,2020-04-13,​ ​,207(+5.1%),6(=)
2020-04-14,2020-04-14,​ ​,215(+3.9%),6(=)
2020-04-15,2020-04-15,​ ​,232(+7.9%),9(+50%)
2020-04-16,2020-04-16,​ ​,247(+6.5%),11(+22%)
2020-04-17,2020-04-17,​ ​,260(+5.3%),13(+18%)
2020-04-18,2020-04-18,​ ​,279(+7.3%),13(=)
2020-04-19,2020-04-19,​ ​,315(+13%),13(=)
2020-04-20,2020-04-20,​ ​,359(+14%),14(+7.7%)
2020-04-21,2020-04-21,​ ​,384(+7%),16(+14%)
